FILE NAME,TITLE,OP ID,BDRC ID,VOLUME NUMBER
MW1PD95844_2598,དབང་གི་དོན་ངེས་པར་འབྱེད་པ།,I00388DFB,MW1PD95844_2598,43
MW1PD95844_2775,མགོན་པོ་དམར་པོའི་ཚེ་སྒྲུབ།,I022E0E8A,MW1PD95844_2775,47
MW1PD95844_2838,ནོར་ལྷ་གསང་བའི་བསྒྲུབ་ཐབས།,I02B4050B,MW1PD95844_2838,47
MW1PD95844_2669,གཤིན་རྗེ་གཤེད་ནག་པོའི་དཀྱིལ་འཁོར་ཀྱི་ཆོ་ག།,I060D269E,MW1PD95844_2669,46
MW1PD95844_1228,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་སྒྲུབ་ཐབ།,I078413A3,MW1PD95844_1228,39
MW1PD95844_0411,དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་མངོན་པར་རྟོགས་པའི་འགྲེལ་པ།,I084AAE84,MW1PD95844_0411,42
O2MS163914CZ189528,ཅུང་ཟད་དྲན་པ།,I08821B0A,,42
MW1PD95844_2540,མངོན་པར་རྟོགས་པའི་འགྲེལ་པ།,I09032F0F,MW1PD95844_2540,42
O2MS163914CZ189450,བཅོམ་ལྡན་འདས་དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས།,I0B11F165,,42
MW1PD95844_2863,འཆི་མེད་གྲུབ་པའི་འགྲེལ་པ་གཡུང་དྲུང་གྲུབ་པ།,I0C462022,MW1PD95844_2863,47
MW1PD95844_2617,རིམ་པ་དྲུག་པ།,I0C9BB278,MW1PD95844_2617,47
MW1PD95844_2827,འཕགས་པ་ཚོགས་ཀྱི་བདག་པོ་ཡིད་བཞིན་ནོར་བུའི་སྒྲུབ་ཐབས།,I0CEB004E,MW1PD95844_2827,47
MW1PD95844_0996,གཏོར་མ།,I0E568D78,MW1PD95844_0996,24
MW1PD95844_0953,ལས་ཀྱི་གཤིན་རྗེ་ཆོས་ཀྱི་རྒྱལ་པོའི་བསྒྲུབ་ཐབས།,I0EE65051,MW1PD95844_0953,24
MW1PD95844_2685,གཤིན་རྗེ་གཤེད་མཐར་བྱེད་ཀྱི་འཁྲུལ་འཁོར་གྱི་ཆོ་ག།,I0EF85562,MW1PD95844_2685,46
MW1PD95844_2799,དམ་ཚིག་འདུས་པའི་དབང་།,I0FA0A55C,MW1PD95844_2799,47
MW1PD95844_2849,ཁྲོ་བོ་རེག་ཚིག་གི་སྦྱིན་སྲེག་གི་ཆོ་ག།,I127B0680,MW1PD95844_2849,47
O2MS163914CZ189475,ལམ་ཁྱེར་གྱི་ཆོས་གསུམ།,I12831F44,,42
O2MS163914CZ189472,དཔལ་འཆི་མེད་ཡེ་ཤེས་ཆེན་པོ།,I146A3838,,42
MW1PD95844_2634,ཐུགས་ཀྱི་སྒོ་ལྕགས།,I14712EE0,MW1PD95844_2634,44
MW1PD95844_1171,དོ་ཧ་མཛོད་ཅེས་བྱ་བ་སྤྱོད་པའི་གླུ།,I14E17B3B,MW1PD95844_1171,26
MW1PD95844_1979,གཤིན་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,I164F3BD3,MW1PD95844_1979,39
MW1PD95844_0043,དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ལ་བསྟོད་པ།,I166FA95B,MW1PD95844_0043,42
MW1PD95844_2856,རྒྱུད་སྡེ་ལྔའི་སྒྲུབ་ཐབས་དེ་ཁོ་ན་ཉིད་བསྡུས་པ།,I176185B6,MW1PD95844_2856,47
MW1PD95844_0075,རྡོ་རྗེ་སྙིང་པོའི་འགྲེལ་པ།,I181A1238,MW1PD95844_0075,1
MW1PD95844_0677,ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ།,I184D4C93,MW1PD95844_0677,47
MW1PD95844_3559,སྤོས་སྦྱོར་རིན་པོ་ཆེའི་འཕྲེང་བ།,I184F2DE0,MW1PD95844_3559,114
MW1PD95844_2586,འཇིག་རྟེན་གསུམ་ལས་རྣམ་པར་རྒྱལ་བ་འཕགས་མ་སྒྲོལ་མ་སྒྲུབ་པའི་ཐབས།,I18A4C115,MW1PD95844_2586,42
MW1PD95844_0210,བླ་མའི་མན་ངག།,I1966A883,MW1PD95844_0210,42
MW1PD95844_1560,མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས།,I1A0BB934,MW1PD95844_1560,34
MW1PD95844_0373,དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྦྱིན་བསྲེག་གི་ཆོ་ག།,I1A1C779E,MW1PD95844_0373,42
MW1PD95844_2615,སྒྱུ་འཕྲུལ་མན་ངག་གསལ་བའི་སྒྲོན་མེ།,I1AAF5314,MW1PD95844_2615,43
MW1PD95844_0863,གཤིན་རྗེ་གཤེད་ནག་པོའི་མངོན་པར་རྟོགས་པའི་རིམ་པ།,I1ACB2944,MW1PD95844_0863,46
MW1PD95844_2595,དེ་ཁོ་ན་ཉིད་ངེས་པའི་རྒྱ་ཆེར་བཤད་པའི་འགྲེལ་པ།,I1B909C02,MW1PD95844_2595,43
MW1PD95844_2555,རྣལ་འབྱོར་མ་དྲུག་གི་སྒྲུབ་པའི་ཐབས།,I1C124F32,MW1PD95844_2555,42
MW1PD95844_2832,ཚོགས་ཀྱི་བདག་པོ་ཆེན་པོ་ཁམས་གསུམ་དབང་སྡུད་དམར་པོའི་སྒྲུབ་པའི་ཐབས།,I1C1B3211,MW1PD95844_2832,47
MW1PD95844_2106,འཕགས་པ་ཁ་སརྤ་ཎི་འཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་ཐབས།,I1CCB0798,MW1PD95844_2106,40
MW1PD95844_1049,ཚེ་དང་ཡེ་ཤེས་དཔག་ཏུ་མེད་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།,I1D38B35C,MW1PD95844_1049,47
MW1PD95844_2600,གསང་བའི་ཐིགས་པའི་མན་ངག།,I1D6D1D44,MW1PD95844_2600,43
MW1PD95844_1613,འཇམ་དབྱངས་སྨྲ་བའི་སེངྒེའི་སྒྲུབ་ཐབས།,I1DDC1C91,MW1PD95844_1613,47
MW1PD95844_2654,ཕྱག་རྒྱ་བཞི་པའི་བསམ་གཏན།,I1F099178,MW1PD95844_2654,44
MW1PD95844_2692,འཇམ་པའི་དབྱངས་དཔའ་བོ་གཅིག་གྲུབ་པའི་བསྟོད་པ་གསེར་གྱི་སྲེང་བ།,I1FB4A1EF,MW1PD95844_2692,47
MW1PD95844_2731,དམ་ཚིག་སྒྲོལ་མ་ལ་བསྟོད་པ།,I1FEDD92D,MW1PD95844_2731,47
MW1PD95844_2435,ཆོས་སྐྱོང་བའི་རྒྱལ་པོ་རྣམ་ཐོས་སྲས་ལ་བསྟོད་པ།,I2029C8AC,MW1PD95844_2435,41
MW1PD95844_2751,ནག་པོ་ཆེན་པོའི་སྦྱིན་སྲེག།,I20365277,MW1PD95844_2751,47
MW1PD95844_2753,ནག་པོ་ཆེན་པོའི་བསྟོད་པ།,I203C3DEA,MW1PD95844_2753,47
MW1PD95844_3565,མོ་རྩིས་འཇམ་པའི་དབྱངས།,I20D605BF,MW1PD95844_3565,114
MW1PD95844_2702,ཕྱག་ན་རྡོ་རྗེ་གཏུམ་པོ་ཆེན་པོ་ཁྲོས་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།,I2183E24E,MW1PD95844_2702,47
O2MS163914CZ189815,འཕགས་པ་འཛམ་བྷ་ལྷ་ལ་བསྟོད་པ།,I22ABB74B,,47
MW1PD95844_1814,སོ་སོ་འབྲང་མའི་སྒྲུབ་ཐབས།,I22B961BF,MW1PD95844_1814,40
MW1PD95844_1054,བཅོམ་ལྡན་འདས་ཚེ་དང་ཡེ་ཤེས་དཔག་ཏུ་མེད་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།,I22CD2A49,MW1PD95844_1054,47
MW1PD95844_2631,འབྲས་བུའི་མཆོག་གི་རྒྱུད་ཀྱི་དོན་བསྡུས་འགྲེལ་པ་པཎྜིར་ཐར།,I23B62583,MW1PD95844_2631,44
MW1PD95844_2749,ཞལ་བཞི་པའི་དམ་ཚིག་དངོས་གྲུབ་བསྒྲུབ་པའི་ཐབས།,I2408A632,MW1PD95844_2749,47
MW1PD95844_2801,དཔལ་ནག་པོ་ཆེན་པོའི་དངོས་གྲུབ་དང་བསྲུང་བ་དང་བཟློག་པའི་སྒྲུབ་ཐབས།,I24474891,MW1PD95844_2801,47
MW1PD95844_2841,གནོད་སྦྱིན་མོ་ནག་མོས་བསད་པའི་སྒྲུབ་ཐབས།,I244F5A7A,MW1PD95844_2841,47
MW1PD95844_2542,བདེ་མཆོག་འཁོར་ལོའི་ཊི་ཀ།,I2473973F,MW1PD95844_2542,42
MW1PD95844_2762,དཔལ་ལྷ་མོ་ནག་མོ་ལ་བསྟོད་པ།,I24C26AA2,MW1PD95844_2762,47
MW1PD95844_2498,བཅོམ་ལྡན་འདས་དཔལ་བདེ་མཆོག་རྡོ་རྗེ་ནམ་མཁའ་ལྡིང་གི་བསྒྲུབ་ཐབས།,I25528372,MW1PD95844_2498,42
MW1PD95844_2642,དབང་ཅིག་ཅར་འཇུག་པའི་མན་ངག།,I26241C24,MW1PD95844_2642,44
MW1PD95844_2489,མི་ཕམ་མགོན་པོ་ལ་བསྟོད་པ་འཆི་སླུ་མ།,I26366987,MW1PD95844_2489,42
O2MS163914CZ188192,མཚན་ཡང་དག་པར་བརྗོད་པའི་འཁོར་ལོའི་རིམ་པ།,I27D94807,,33
MW1PD95844_2674,དཔལ་གཤིན་རྗེ་གཤེད་ནག་པོའི་འཁྲུལ་འཁོར་བསྐོར་བའི་ཆོ་ག་ལས། ལས་ཀྱི་རྒྱུད་དང་གྲོགས་བསྟན་པའི་རྟོག་པ།,I284EB1BB,MW1PD95844_2674,46
MW1PD95844_2812,ཚོགས་ཀྱི་བདག་པོའི་སྒྲུབ་ཐབས་འཁོར་ལོ་ཆེན་པོ།,I287F87A8,MW1PD95844_2812,47
MW1PD95844_1385,རྡོ་རྗེ་ཐེག་པའི་རྩ་བའི་ལྟུང་བ།,I289886AF,MW1PD95844_1385,27
MW1PD95844_2744,ཁྲོ་བོ་མི་གཡོ་མགོན་གྱི་སྒྲུབ་ཐབས།,I290C27F2,MW1PD95844_2744,47
MW1PD95844_2507,དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་རིམ་པ་ལྔ་པ།,I29373A90,MW1PD95844_2507,42
MW1PD95844_1706,ཕྱག་ན་རྡོ་རྗེ་རྡོ་རྗེ་སྙིང་པོའི་མན་ངག་ཅེས་བྱ་བའི་སྒྲུབ་ཐབས།,I2AB39F26,MW1PD95844_1706,37
MW1PD95844_2650,རྡོ་རྗེ་སེམས་དཔའ་སྒྱུ་འཕྲུལ་དྲ་བ་འོད་ཀྱི་ཕྱག་རྒྱ།,I2C4B2441,MW1PD95844_2650,44
MW1PD95844_2760,ལྷ་མོ་ནག་མོའི་བསྟོད་པ།,I2C523F52,MW1PD95844_2760,47
MW1PD95844_0940,གཤིན་རྗེ་གཤེད་ནག་པོའི་འཁོར་ལོའི་གསལ་བྱེད།,I2E28D6D7,MW1PD95844_0940,46
MW1PD95844_2580,རྣལ་འབྱོར་མདོར་བསྟན།,I2E4DC792,MW1PD95844_2580,42
MW1PD95844_2512,སྤྲ་ཁྲིད་ལུང་ཏེ་ལོའི་གསུངས།,I2F1C26F9,MW1PD95844_2512,42
MW1PD95844_0272,རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,I3092062F,MW1PD95844_0272,42
O2MS163914CZ189774,དཔལ་ནག་པོ་ཆེན་པོའི་གསང་བའི་མན་ངག།,I3290423E,,47
MW1PD95844_2700,སེམས་དཔའི་ཕྱག་རྒྱ།,I32A6ACFB,MW1PD95844_2700,47
MW1PD95844_2592,བདུད་རྩི་ཐིགས་པ།,I3301D302,MW1PD95844_2592,43
O2MS163914CZ189656,གཤིན་གྱི་ཆོ་ག།,I3306DBBF,,46
MW1PD95844_1567,རྒྱན་དམ་པ་སྣ་ཚོགས་པ་རིམ་པར་ཕྱེ་བ་བཀོད་པ།,I3370D60A,MW1PD95844_1567,34
O2MS163914CZ189519,སྔགས་ཀྱི་བསྟན་ཆོས་གསང་བའི་མཛོད།,I33C0121A,,42
MW1PD95844_2745,གཏུམ་པོ་ཁྲོ་བོ་ཆེན་པོའི་སྒྲུབ་པ་དོན་དམ་པ།,I340D3F43,MW1PD95844_2745,47
MW1PD95844_0701,དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ།,I342AA21D,MW1PD95844_0701,26
MW1PD95844_0338,དཔལ་འཁོར་ལོ་སྡོམ་པ་ལ་བསྟོད་པ།,I344F4BB3,MW1PD95844_0338,42
MW1PD95844_0398,དབང་གི་རབ་ཏུ་བྱེད་པ།,I3453383A,MW1PD95844_0398,42
MW1PD95844_1051,ཚེ་དཔག་ཏུ་མེད་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།,I34A3BB3E,MW1PD95844_1051,47
MW1PD95844_1766,གཏུམ་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས།,I34BBEB99,MW1PD95844_1766,40
MW1PD95844_2617,རིམ་པ་དྲུག་པ།,I35349333,MW1PD95844_2617,43
MW1PD95844_2766,དཔལ་ལྡན་ལྷ་མོ་ནག་མོ་ལ་བསྟོད་པ།,I366922B0,MW1PD95844_2766,47
MW1PD95844_2834,ཚོགས་ཀྱི་བདག་པོ་ཁྲོ་བོའི་སྒྲུབ་ཐབས།,I36C9A24E,MW1PD95844_2834,47
MW1PD95844_3434,ཚད་མ་ཀུན་ལས་བཏུས་པ།,I36E5F505,MW1PD95844_3434,97
MW1PD95844_2784,དཔལ་ནག་པོ་ཆེན་པོ་བྱིན་བརླབས་ཅན་གྱི་སྒྲུབ་པའི་ཐབས།,I376DB51D,MW1PD95844_2784,47
MW1PD95844_2830,ཚོགས་བདག་གསང་སྒྲུབ།,I37B944F7,MW1PD95844_2830,47
MW1PD95844_2649,སྒྱུ་འཕྲུལ་ཚོགས་ཀྱི་འཁོར་ལོ་ཐུགས་ཀྱི་སྒྲུབ་པ།,I38454221,MW1PD95844_2649,44
MW1PD95844_2652,ཁྲོ་བོ་ཡང་དག་སྒྲོན་མ།,I38AA3075,MW1PD95844_2652,44
MW1PD95844_2012,ཨུ་ཊྱན་གྱི་རིམ་པའི་འོད་ཟེར་ཅན་གྱི་སྒྲུབ་པའི་ཐབས།,I391EA4D4,MW1PD95844_2012,40
MW1PD95844_2597,རྡོ་རྗེ་སེམས་དཔའི་སྒྱུ་འཕྲུལ་དྲ་བའི་དབང་གིས་གལ་པོ།,I3A8D6CD8,MW1PD95844_2597,43
MW1PD95844_1878,འཇམ་དཔལ་གྱི་སྒྲུབ་པའི་ཐབས།,I3A950A6C,MW1PD95844_1878,40
